DEBUG:2018-09-15 23:18:25,725 class Data called.
INFO:2018-09-15 23:18:57,881 a controller button was pressed
INFO:2018-09-15 23:18:57,881 Controller button 5 pressed.
DEBUG:2018-09-15 23:18:57,881 image count now set to 4.  There are 59 total images
INFO:2018-09-15 23:18:58,071 a controller button was pressed
INFO:2018-09-15 23:18:58,071 Controller button 5 pressed.
DEBUG:2018-09-15 23:18:58,071 image count now set to 5.  There are 59 total images
INFO:2018-09-15 23:18:58,417 a controller button was pressed
INFO:2018-09-15 23:18:58,417 Controller button 2 pressed
INFO:2018-09-15 23:18:58,835 a controller button was pressed
INFO:2018-09-15 23:18:58,835 Controller button 2 pressed
INFO:2018-09-15 23:18:59,138 a controller button was pressed
INFO:2018-09-15 23:18:59,138 Controller button 5 pressed.
DEBUG:2018-09-15 23:18:59,138 image count now set to 6.  There are 59 total images
INFO:2018-09-15 23:18:59,519 a controller button was pressed
INFO:2018-09-15 23:18:59,519 Controller button 2 pressed
INFO:2018-09-15 23:19:01,038 a controller button was pressed
INFO:2018-09-15 23:19:01,038 Controller button 2 pressed
INFO:2018-09-15 23:19:01,912 a controller button was pressed
INFO:2018-09-15 23:19:01,912 Controller button 2 pressed
INFO:2018-09-15 23:19:02,824 a controller button was pressed
INFO:2018-09-15 23:19:02,824 Controller button 2 pressed
INFO:2018-09-15 23:19:03,129 a controller button was pressed
INFO:2018-09-15 23:19:03,129 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:03,129 image count now set to 7.  There are 59 total images
INFO:2018-09-15 23:19:03,394 a controller button was pressed
INFO:2018-09-15 23:19:03,394 Controller button 2 pressed
INFO:2018-09-15 23:19:03,851 a controller button was pressed
INFO:2018-09-15 23:19:03,851 Controller button 2 pressed
INFO:2018-09-15 23:19:04,155 a controller button was pressed
INFO:2018-09-15 23:19:04,155 Controller button 1 pressed
INFO:2018-09-15 23:19:04,916 a controller button was pressed
INFO:2018-09-15 23:19:04,916 Controller button 1 pressed
INFO:2018-09-15 23:19:05,374 a controller button was pressed
INFO:2018-09-15 23:19:05,374 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:05,374 image count now set to 8.  There are 59 total images
INFO:2018-09-15 23:19:05,643 a controller button was pressed
INFO:2018-09-15 23:19:05,643 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:05,643 image count now set to 9.  There are 59 total images
INFO:2018-09-15 23:19:05,908 a controller button was pressed
INFO:2018-09-15 23:19:05,908 Controller button 2 pressed
INFO:2018-09-15 23:19:06,972 a controller button was pressed
INFO:2018-09-15 23:19:06,972 Controller button 2 pressed
INFO:2018-09-15 23:19:07,238 a controller button was pressed
INFO:2018-09-15 23:19:07,238 Controller button 2 pressed
INFO:2018-09-15 23:19:08,267 a controller button was pressed
INFO:2018-09-15 23:19:08,267 Controller button 2 pressed
INFO:2018-09-15 23:19:09,105 a controller button was pressed
INFO:2018-09-15 23:19:09,105 Controller button 2 pressed
INFO:2018-09-15 23:19:10,093 a controller button was pressed
INFO:2018-09-15 23:19:10,093 Controller button 2 pressed
INFO:2018-09-15 23:19:10,775 a controller button was pressed
INFO:2018-09-15 23:19:10,775 Controller button 3 pressed
INFO:2018-09-15 23:19:11,230 a controller button was pressed
INFO:2018-09-15 23:19:11,230 Controller button 1 pressed
INFO:2018-09-15 23:19:11,725 a controller button was pressed
INFO:2018-09-15 23:19:11,725 Controller button 1 pressed
INFO:2018-09-15 23:19:13,055 a controller button was pressed
INFO:2018-09-15 23:19:13,055 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:13,055 image count now set to 10.  There are 59 total images
INFO:2018-09-15 23:19:13,395 a controller button was pressed
INFO:2018-09-15 23:19:13,395 Controller button 2 pressed
INFO:2018-09-15 23:19:14,003 a controller button was pressed
INFO:2018-09-15 23:19:14,003 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:14,003 image count now set to 11.  There are 59 total images
INFO:2018-09-15 23:19:14,877 a controller button was pressed
INFO:2018-09-15 23:19:14,877 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:14,877 image count now set to 12.  There are 59 total images
INFO:2018-09-15 23:19:15,143 a controller button was pressed
INFO:2018-09-15 23:19:15,143 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:15,143 image count now set to 13.  There are 59 total images
INFO:2018-09-15 23:19:15,333 a controller button was pressed
INFO:2018-09-15 23:19:15,333 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:15,333 image count now set to 14.  There are 59 total images
INFO:2018-09-15 23:19:15,561 a controller button was pressed
INFO:2018-09-15 23:19:15,561 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:15,561 image count now set to 15.  There are 59 total images
INFO:2018-09-15 23:19:15,751 a controller button was pressed
INFO:2018-09-15 23:19:15,751 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:15,751 image count now set to 16.  There are 59 total images
INFO:2018-09-15 23:19:15,941 a controller button was pressed
INFO:2018-09-15 23:19:15,941 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:15,941 image count now set to 17.  There are 59 total images
INFO:2018-09-15 23:19:16,131 a controller button was pressed
INFO:2018-09-15 23:19:16,131 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:16,131 image count now set to 18.  There are 59 total images
INFO:2018-09-15 23:19:16,359 a controller button was pressed
INFO:2018-09-15 23:19:16,359 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:16,359 image count now set to 19.  There are 59 total images
